,0
0,1 kabhi aap logo na lokpal par baat ki kyo aakhir modi ji na kya de rakha hai media ko naxali aatankwad notebandi sa kya mila
1,2 inle bas ki baat nahi hai vishwas dila pana ye kewal notebandi jaisa disruption hi kar sakte hain jiska result zero hai
2,3 @arvindkejriwal @drkumarvishwas @msisodia @ashutosh b @raghav chadha elections se pehle tum logon ne notebandi ka mudda uthaya janta ne tum logon ki okat tumhe dikha di ab evm ka bhana jo mcd k baad khtam
3,4 ye chote phaisale lene se kuch nahi hoga @pmoindia @narendramodi lena hai to strong action lo nahi to chod do
4,5 naqli note ke liye notebandi ho sakti hai to naqli vote ke liye evmbandi kyo nahi
5,6 aur notebandi naxal aatankwad aur paththarwazon ki kamar tod degi desh ki sari problm khatm ho chuki hn pm modi jai hind
6,7 notebandi ke baad bhi aam janta ke bankaccount me laakh rs nahi aaye @pmoindia akele sabka paisa kaise ghot sakte hain @sambitswaraj
7,8 suna hai notebandi se atankiyo ki nasbandi karni thi kaka contraceptive lekar gae the par viagra gift kar ke aa gae notebandi
8,9 fake currency aatankvad corruption san khatam honai wala tha notebandi sa kyo n hua sawal puchna ki himmat hai sir
9,10 @timesnow imagine the mentality notebandi aur nasbandi mein fark hi pata aur inhe pm ban na hai gathbandhanwithghotala
10,11 notebandi hui fail bhakto bajao taali ab kaho sanghi modi is great mera desh badal raha hai aur aache din aa gaye
11,12 @arvindkejriwal modi ji k maar me pehli maar notebandi to aap ko barbad kiya lekin sab vyaapari maar se khush hai iss liye to log bjp ko har chunav me jita rahe
12,13 sirji fdi to single brand me approve hai multibrand me nahi logo ko gumraah karne k liye sharm nahi pic twitter com ftn hm vp
13,14 aadhaarcard banane lambi line mein khade hue log kya itni aasaani se notebandi aur gst ki taqleefein bhool gaye kya hum bina koi virodh kiye phir mushkilon mein dhakele ja rahe hain pic twitter com wncag gecg
14,15 @narendramodi jab aapne notebandi ki janta ne aapka dukh sehte hue bhi pura saath diya bas usi tarah is reservation ke kide ko bhi sanvidhan se nikal dijiye pura desh samarthan dega reservation nahi give economic support to ebc s which shouldn t be caste based
