,Index,Tweet,Hindi,English,Other
0,1,kabhi/HI aap/EN logo/EN na/EN lokpal/HI par/EN baat/HI ki/EN kyo/HI aakhir/HI modi/HI ji/EN na/EN kya/EN de/EN rakha/HI hai/EN media/EN ko/EN naxali/HI aatankwad/HI #notebandi/OTHER sa/EN kya/EN mila/HI ,"[('kabhi', 'QFC'), ('lokpal', 'QF'), ('baat', 'NN'), ('kyo', 'PSP'), ('modi', 'NN'), ('aatankwad', 'PSP'), ('mila', 'VM')]","[('logo', 'NN'), ('na', 'FW'), ('de', 'FW'), ('hai', 'FW'), ('ko', 'FW'), ('sa', 'NN')]",
1,2,inle/EN bas/EN ki/EN baat/HI nahi/HI hai/EN vishwas/HI dila/HI pana/HI ye/EN kewal/HI #notebandi/OTHER jaisa/HI disruption/EN hi/EN kar/HI sakte/HI hain/EN jiska/HI result/EN zero/EN hai/EN ,"[('nahi', 'UNK'), ('vishwas', 'VM'), ('pana', 'VAUX'), ('kewal', 'VAUX'), ('jaisa', 'VAUX'), ('sakte', 'VAUX'), ('jiska', 'SYM')]","[('inle', 'NN'), ('ki', 'NN'), ('hi', 'NN'), ('zero', 'NN')]",
2,3,b/EN chadha/HI elections/EN se/EN pehle/HI tum/HI logon/EN ne/EN #notebandi/OTHER ka/EN mudda/HI uthaya/HI janta/HI ne/EN tum/HI logon/EN ki/EN okat/EN tumhe/HI dikha/HI di/EN ab/EN #evm/OTHER ka/EN bhana/HI jo/EN mcd/EN k/EN baad/HI khtam/HI ,"[('pehle', 'UNK'), ('mudda', 'VM'), ('janta', 'VAUX'), ('tum', 'VAUX'), ('tumhe', 'VAUX'), ('bhana', 'VAUX'), ('baad', 'SYM')]","[('b', 'NN'), ('elections', 'NNS'), ('logon', 'VBP'), ('ki', 'VB'), ('di', 'JJ'), ('mcd', 'NN')]",#notebandi #evm
3,4,ye/EN chote/HI phaisale/HI lene/HI se/EN kuch/HI nahi/HI hoga/HI lena/EN hai/EN to/EN strong/EN action/EN lo/EN nahi/HI to/EN chod/HI do/EN ,"[('phaisale', 'NN'), ('nahi', 'VM'), ('nahi', 'VAUX'), ('chod', 'SYM')]","[('ye', 'NN'), ('se', 'NN'), ('lena', 'NN'), ('to', 'TO'), ('action', 'NN')]",
4,5,naqli/HI note/EN ke/EN liye/HI #notebandi/OTHER ho/EN sakti/HI hai/EN to/EN naqli/HI vote/EN ke/EN liye/HI #evmbandi/OTHER kyo/HI nahi/HI ,"[('naqli', 'QO'), ('sakti', 'NN'), ('liye', 'PSP'), ('kyo', 'VM')]","[('ke', 'NN'), ('to', 'TO'), ('vote', 'VB')]",#notebandi
5,6,aur/HI #notebandi/OTHER naxal/HI aatankwad/HI aur/HI paththarwazon/HI ki/EN kamar/HI tod/EN degi/HI desh/HI ki/EN sari/EN problm/EN khatm/HI ho/EN chuki/HI hn/EN pm/EN modi/HI jai/EN hind/EN ,"[('aur', 'UNK'), ('naxal', 'VM'), ('aur', 'VAUX'), ('desh', 'VAUX'), ('khatm', 'VAUX'), ('chuki', 'SYM')]","[('ki', 'NN'), ('tod', 'NN'), ('sari', 'NN'), ('pm', 'NN'), ('jai', 'NN')]",
6,7,#notebandi/OTHER ke/HI baad/HI bhi/HI aam/HI janta/HI ke/EN #bankaccount/OTHER me/EN laakh/HI rs/EN nahi/HI aaye/HI akele/HI sabka/HI paisa/HI kaise/HI ghot/HI sakte/HI hain/EN ,"[('baad', 'INTF'), ('aam', 'JJ'), ('aaye', 'VM'), ('sabka', 'CC'), ('kaise', 'WQ'), ('sakte', 'WQ')]","[('ke', 'VB'), ('me', 'PRP'), ('rs', 'VB')]",#notebandi
7,8,suna/EN hai/EN #notebandi/OTHER se/EN atankiyo/HI ki/EN #nasbandi/OTHER karni/HI thi/EN kaka/HI contraceptive/EN lekar/HI gae/HI the/EN par/EN viagra/EN gift/EN kar/HI ke/EN aa/EN gae/HI #notebandi/OTHER ,"[('atankiyo', 'VM'), ('gae', 'VAUX'), ('gae', 'VAUX')]","[('suna', 'NN'), ('thi', 'NN'), ('contraceptive', 'JJ'), ('par', 'NN'), ('gift', 'NN'), ('ke', 'NN')]",#notebandi #nasbandi
8,9,fake/EN currency/EN aatankvad/HI corruption/EN san/EN khatam/HI honai/HI wala/HI tha/EN #notebandi/OTHER sa/EN kyo/HI n/EN hua/EN sawal/HI puchna/HI ki/EN himmat/EN hai/EN sir/EN ,"[('aatankvad', 'UNK'), ('honai', 'VM'), ('sawal', 'SYM')]","[('fake', 'JJ'), ('san', 'JJ'), ('tha', 'NN'), ('sa', 'NN'), ('n', 'JJ'), ('ki', 'NN'), ('hai', 'NN')]",
9,10,imagine/EN the/EN mentality/EN #notebandi/OTHER aur/HI #nasbandi/OTHER mein/EN fark/HI hi/EN pata/HI aur/EN inhe/HI pm/EN ban/EN na/EN hai/EN #gathbandhanwithghotala/OTHER ,"[('aur', 'INJ')]","[('imagine', 'JJ'), ('mentality', 'NN'), ('mein', 'NN'), ('hi', 'NN'), ('aur', 'NN'), ('pm', 'NN'), ('na', 'NN')]",#gathbandhanwithghotala
10,11,#notebandi/OTHER hui/HI fail/EN bhakto/HI bajao/HI taali/HI ab/EN kaho/HI sanghi/HI modi/HI is/EN great/EN mera/HI desh/HI badal/HI raha/HI hai/EN aur/EN aache/HI din/EN aa/EN gaye/EN ,"[('bajao', 'UNK'), ('sanghi', 'VM'), ('mera', 'VAUX'), ('badal', 'VAUX'), ('aache', 'SYM')]","[('fail', 'JJ'), ('ab', 'NN'), ('is', 'VBZ'), ('hai', 'JJ'), ('aa', 'NN')]",#notebandi
